Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Current_Ratio,Quick_Ratio,Cash_Ratio,Debt_Equity,Net_Leverage,Asset_Turnover,Fixed_Asset_Turnover,Inventory_Turnover,Receivables_Turnover,ln_Total_Assets,ln_Revenue,ROA,ROE,ROS
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2020,1.1916903320004182,0.8989228130796246,0.2554358082089696,1.1295960112163335,10.740487959139356,0.8668686875799686,3.19504171385597,,4.450449087593607,9.056071365254507,8.913221514809765,0.033044592947797644,0.07037163333389722,0.038119490784755426
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2021,1.6313396712892916,1.2856059786216514,0.6057175953029053,0.8351349644817211,6.19014369664566,1.3130600819485105,6.2561224518177525,-0.2509652349610227,7.3201564340889504,9.211392481843543,9.483729018172815,0.03238345190832058,0.05942800486757142,0.02466258197436425
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2022,1.7647871236772963,1.1428483416994424,0.5123926304660773,0.7493936661113503,16.044521030800457,1.416314750689733,7.360196542818026,-0.5866232598058085,9.721152913273887,9.287008099888341,9.635039126789282,0.01086449479118826,0.0190062783732045,0.007670960699870806
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2023,1.5203418863090534,1.2629126208605121,0.6516006006720039,0.942269647013736,8.358599667063773,1.0896165686194863,6.270061054632739,0.9839276439703404,10.475257389858871,9.357418572614916,9.443237335346188,0.02669273343376855,0.05184448594423738,0.024497363753918956
AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2024,1.5997833802528498,1.2142405895147723,0.6008678870735189,1.2048959031030524,11.426706613123594,0.9297689625367415,4.208500420201275,-0.5767802530822316,7.299065613232472,9.528712906687833,9.455899249568922,0.02255815523968224,0.049738384069538025,0.02426210827487244
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,11.047840247335431,3.1663531845938175,1.6937118915353626,0.08613188277238507,1.0784527825879249,0.5734130795783495,4.21775804099094,,7.029764640255193,5.355733376383121,4.803090469505357,-0.056765903213146285,-0.06165525733416955,-0.09899652664862166
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,29.407049290093077,13.656069755046296,11.148733749342464,0.03479205469222327,-17.002517190349693,0.6669250953938682,5.111565669259336,0.40490209513380937,17.26768840348559,5.308700809945909,4.906091520695131,0.001121452116038458,0.0011604697393943774,0.0016815263419892126
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,22.79099818760998,9.539983327890546,1.2914950987522857,0.04315850272352019,-0.06296175023406772,0.9699344933742,8.118639010113029,-0.16944383279833095,17.187217122818485,5.391714546024379,5.361328961037164,0.07731627654650843,0.08065313127841335,0.07971288481301579
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,18.992995409080105,4.562012583895329,2.5020624214639,0.05044294172322016,-3.9200299579658404,0.6425118009448478,5.783978503976941,-0.2004470571655971,9.878546000948472,5.36530908101192,4.925537302856055,0.003303390612833694,0.003470023353005897,0.005141369556132483
AAM,Thủy sản Mekong,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,33.575114870916956,14.543662513950961,12.714251155427089,0.03062876777262728,12.946183534379479,0.7585547002761097,7.065191617447354,0.42417151819455406,17.01366648573405,5.314862509660661,5.040086287122064,-0.03119737154205482,-0.032152908590132784,-0.04112738544853673
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2020,1.872119206329639,1.6835345561855892,0.21399018865664324,0.3645988591272125,-123.0295872555174,0.49511439843717214,0.9651035413792514,,2.1351141240017966,6.364516359345096,5.663303934568858,0.024209938680942355,0.03303685470355371,0.04889766639257712
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2021,2.966450159977703,2.644305308682853,0.8065258719747883,0.4603838074867183,19.950593789141042,0.484506432291902,1.0879381802912131,-0.6427982046995463,2.23581470409807,6.8851132881433585,6.161576445720757,0.029503675979005738,0.04308669066107483,0.06089429161846622
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2022,2.0858595420580164,2.0171509804022763,0.07432758626247017,0.4401527244220548,6.540490672467142,0.9128383528979214,5.337402278347504,-1.2261163914798312,2.3322339426531307,6.9607706831237195,6.8696647683857455,0.08451135202355639,0.12170925386131606,0.09258085153331294
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2023,2.053350789446308,1.9282095617285293,0.009121401947359735,0.4292126538287371,-10.792489880893152,0.5926334469431908,4.400914709239474,-1.4163329878058766,1.4357337945420292,6.920020812042593,6.397520381236503,-0.0024389163940333135,-0.0034857301719827655,-0.004115387693039042
AAT,Tập đoàn Tiên Sơn Thanh Hóa,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2024,2.3860400463392257,2.2679419164741836,0.06308716319638796,0.8057528229456279,22.691532069750977,0.4409916061051559,1.9829411628932059,-0.5293624266377082,1.5536681930520242,7.187385028446168,6.369613530976806,-0.00033701682564991827,-0.0006085690842975143,-0.0007642250350895692
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2020,4.620709250887136,4.551672029076652,2.244521959570698,0.19456267307418673,-1.868234954352319,0.3478871582664669,12.597747908339464,,4.715184089458163,5.647010700947205,4.597725127601637,0.0875526917782429,0.10458717752545821,0.25166980067479594
ABR,Đầu tư Nhãn Hiệu Việt,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2021,4.483971578292553,4.469091593238128,0.9340445475371661,0.221882224903775,0.29857688416563993,0.29167902307931587,6.196720895753018,2.8397231445350712,2.1804867599608566,5.747846913506886,4.523461559083859,0.06183622620328342,0.07555658565292105,0.21200093702476636
