Symbol,Company Name,Industry,Start Year,End Year,Overall State,Trend
AAA,An Phát Bioplastics,Nguyên vật liệu,2020,2024,High Risk,Improving
AAM,Thủy sản Mekong,Hàng Tiêu dùng,2020,2024,At Risk,Deteriorating
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,2020,2024,At Risk,Deteriorating
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,2020,2024,Stable,Deteriorating
ABS,DV Nông nghiệp Bình Thuận,Dịch vụ Tiêu dùng,2020,2022,Stable,Deteriorating
ABS,DV Nông nghiệp Bình Thuận,Nguyên vật liệu,2023,2024,At Risk,Improving
ABT,Thủy sản Bến Tre,Hàng Tiêu dùng,2020,2024,At Risk,Improving
ACC,Đầu tư và XD Bình Dương ACC,Công nghiệp,2020,2024,High Risk,Deteriorating
ACG,Gỗ An Cường,Nguyên vật liệu,2020,2024,Stable,Deteriorating
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,2020,2024,At Risk,Improving
ADG,Clever Group,Dịch vụ Tiêu dùng,2020,2024,Stable,Deteriorating
ADP,Sơn Á Đông,Công nghiệp,2020,2024,Healthy,Stable
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,2020,2024,High Risk,Stable
AGM,XNK An Giang,Hàng Tiêu dùng,2020,2024,At Risk,Deteriorating
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,2020,2024,At Risk,Stable
APC,Chiếu xạ An Phú,Dược phẩm và Y tế,2020,2022,At Risk,Deteriorating
APH,Tập đoàn An Phát Holdings,Công nghiệp,2020,2024,At Risk,Improving
ASG,Tập đoàn ASG,Công nghiệp,2020,2024,At Risk,Deteriorating
ASM,Tập đoàn Sao Mai,Hàng Tiêu dùng,2020,2024,High Risk,Improving
ASP,Dầu khí An Pha,Tiện ích Cộng đồng,2020,2024,At Risk,Stable
AST,Dịch vụ Hàng không Taseco,Dịch vụ Tiêu dùng,2020,2024,At Risk,Stable
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,2020,2024,At Risk,Deteriorating
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,2020,2024,At Risk,Improving
BCE,XD và GT Bình Dương,Công nghiệp,2020,2024,High Risk,Improving
BFC,Phân bón Bình Điền,Nguyên vật liệu,2020,2024,At Risk,Improving
BHN,HABECO,Hàng Tiêu dùng,2020,2024,Healthy,Improving
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,2020,2024,Stable,Stable
BMC,Khoáng sản Bình Định,Nguyên vật liệu,2020,2024,Stable,Stable
BMP,Nhựa Bình Minh,Công nghiệp,2020,2024,Healthy,Stable
BRC,Cao su Bến Thành,Nguyên vật liệu,2020,2024,At Risk,Improving
BSR,Lọc Hóa dầu Bình Sơn,Dầu khí,2023,2024,Stable,Deteriorating
BTP,Nhiệt điện Bà Rịa,Tiện ích Cộng đồng,2020,2024,Stable,Stable
BTT,TM - DV Bến Thành,Dịch vụ Tiêu dùng,2020,2024,At Risk,Deteriorating
BWE,Nước - Môi trường Bình Dương,Tiện ích Cộng đồng,2020,2024,At Risk,Improving
C32,CIC39,Công nghiệp,2020,2024,At Risk,Stable
C47,Xây dựng 47,Công nghiệp,2020,2024,High Risk,Stable
CAV,Dây cáp điện Việt Nam,Công nghiệp,2020,2022,At Risk,Stable
CCI,CIDICO,Tiện ích Cộng đồng,2020,2024,At Risk,Deteriorating
CDC,Chương Dương Corp,Công nghiệp,2020,2024,High Risk,Stable
CHP,Thủy điện Miền Trung,Tiện ích Cộng đồng,2020,2024,At Risk,Stable
CIG,Xây dựng COMA 18,Công nghiệp,2020,2024,High Risk,Improving
CII,Hạ tầng Kỹ thuật TP.HCM,Công nghiệp,2020,2024,High Risk,Stable
CLC,Thuốc lá Cát Lợi,Hàng Tiêu dùng,2020,2024,Healthy,Deteriorating
CLL,Cảng Cát Lái,Công nghiệp,2020,2024,Stable,Stable
CLW,Cấp nước Chợ Lớn,Tiện ích Cộng đồng,2020,2024,Stable,Deteriorating
CMG,Tập đoàn Công nghệ CMC,Công nghệ Thông tin,2020,2024,At Risk,Deteriorating
CMV,Thương nghiệp Cà Mau,Dịch vụ Tiêu dùng,2020,2024,At Risk,Deteriorating
CMX,CAMIMEX Group,Hàng Tiêu dùng,2020,2024,High Risk,Improving
