Mã,Tên công ty,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Financial_State_Rule,Pass_Ratio,Company_Label
AAA,An Phát Bioplastics,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2020,High_Risk,0.0,AAA - An Phát Bioplastics
AAA,An Phát Bioplastics,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2021,At_Risk,0.25,AAA - An Phát Bioplastics
AAA,An Phát Bioplastics,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2022,High_Risk,0.0,AAA - An Phát Bioplastics
AAA,An Phát Bioplastics,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2023,High_Risk,0.0,AAA - An Phát Bioplastics
AAA,An Phát Bioplastics,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2024,At_Risk,0.25,AAA - An Phát Bioplastics
AAM,Thủy sản Mekong,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,Stable,0.5,AAM - Thủy sản Mekong
AAM,Thủy sản Mekong,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,Stable,0.5,AAM - Thủy sản Mekong
AAM,Thủy sản Mekong,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,Stable,0.5,AAM - Thủy sản Mekong
AAM,Thủy sản Mekong,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,Stable,0.5,AAM - Thủy sản Mekong
AAM,Thủy sản Mekong,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,At_Risk,0.25,AAM - Thủy sản Mekong
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2020,At_Risk,0.25,AAT - Tập đoàn Tiên Sơn Thanh Hóa
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2021,Stable,0.5,AAT - Tập đoàn Tiên Sơn Thanh Hóa
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2022,Stable,0.5,AAT - Tập đoàn Tiên Sơn Thanh Hóa
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2023,At_Risk,0.25,AAT - Tập đoàn Tiên Sơn Thanh Hóa
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2024,High_Risk,0.0,AAT - Tập đoàn Tiên Sơn Thanh Hóa
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2020,Healthy,0.75,ABR - Đầu tư Nhãn Hiệu Việt
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2021,Stable,0.5,ABR - Đầu tư Nhãn Hiệu Việt
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2022,Stable,0.5,ABR - Đầu tư Nhãn Hiệu Việt
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2023,Stable,0.5,ABR - Đầu tư Nhãn Hiệu Việt
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2024,At_Risk,0.25,ABR - Đầu tư Nhãn Hiệu Việt
ABS,DV Nông nghiệp Bình Thuận,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2020,Stable,0.5,ABS - DV Nông nghiệp Bình Thuận
ABS,DV Nông nghiệp Bình Thuận,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2021,Healthy,0.75,ABS - DV Nông nghiệp Bình Thuận
ABS,DV Nông nghiệp Bình Thuận,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2022,At_Risk,0.25,ABS - DV Nông nghiệp Bình Thuận
ABS,DV Nông nghiệp Bình Thuận,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2023,High_Risk,0.0,ABS - DV Nông nghiệp Bình Thuận
ABS,DV Nông nghiệp Bình Thuận,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2024,Stable,0.5,ABS - DV Nông nghiệp Bình Thuận
ABT,Thủy sản Bến Tre,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,At_Risk,0.25,ABT - Thủy sản Bến Tre
ABT,Thủy sản Bến Tre,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,At_Risk,0.25,ABT - Thủy sản Bến Tre
ABT,Thủy sản Bến Tre,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,Stable,0.5,ABT - Thủy sản Bến Tre
ABT,Thủy sản Bến Tre,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,Stable,0.5,ABT - Thủy sản Bến Tre
ABT,Thủy sản Bến Tre,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,Stable,0.5,ABT - Thủy sản Bến Tre
ACC,Đầu tư và XD Bình Dương ACC,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,Stable,0.5,ACC - Đầu tư và XD Bình Dương ACC
ACC,Đầu tư và XD Bình Dương ACC,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,High_Risk,0.0,ACC - Đầu tư và XD Bình Dương ACC
ACC,Đầu tư và XD Bình Dương ACC,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,At_Risk,0.25,ACC - Đầu tư và XD Bình Dương ACC
ACC,Đầu tư và XD Bình Dương ACC,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,High_Risk,0.0,ACC - Đầu tư và XD Bình Dương ACC
ACC,Đầu tư và XD Bình Dương ACC,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,At_Risk,0.25,ACC - Đầu tư và XD Bình Dương ACC
ACG,Gỗ An Cường,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2020,Healthy,0.75,ACG - Gỗ An Cường
ACG,Gỗ An Cường,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2021,Stable,0.5,ACG - Gỗ An Cường
ACG,Gỗ An Cường,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2022,At_Risk,0.25,ACG - Gỗ An Cường
ACG,Gỗ An Cường,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2023,Stable,0.5,ACG - Gỗ An Cường
ACG,Gỗ An Cường,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Lâm sản và Chế biến gỗ,2024,Stable,0.5,ACG - Gỗ An Cường
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,High_Risk,0.0,ACL - Thủy sản CL An Giang
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,At_Risk,0.25,ACL - Thủy sản CL An Giang
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,Stable,0.5,ACL - Thủy sản CL An Giang
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,At_Risk,0.25,ACL - Thủy sản CL An Giang
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,At_Risk,0.25,ACL - Thủy sản CL An Giang
ADG,Clever Group,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2020,Healthy,0.75,ADG - Clever Group
ADG,Clever Group,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2021,Healthy,0.75,ADG - Clever Group
ADG,Clever Group,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2022,Healthy,0.75,ADG - Clever Group
ADG,Clever Group,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2023,At_Risk,0.25,ADG - Clever Group
ADG,Clever Group,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2024,High_Risk,0.0,ADG - Clever Group
ADP,Sơn Á Đông,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,Healthy,1.0,ADP - Sơn Á Đông
ADP,Sơn Á Đông,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,Healthy,1.0,ADP - Sơn Á Đông
ADP,Sơn Á Đông,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,Healthy,0.75,ADP - Sơn Á Đông
ADP,Sơn Á Đông,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2023,Stable,0.5,ADP - Sơn Á Đông
ADP,Sơn Á Đông,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2024,Healthy,0.75,ADP - Sơn Á Đông
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2020,High_Risk,0.0,ADS - Dệt sợi DAMSAN
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2021,At_Risk,0.25,ADS - Dệt sợi DAMSAN
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2022,At_Risk,0.25,ADS - Dệt sợi DAMSAN
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2023,At_Risk,0.25,ADS - Dệt sợi DAMSAN
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2024,High_Risk,0.0,ADS - Dệt sợi DAMSAN
AGM,XNK An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2020,Stable,0.5,AGM - XNK An Giang
AGM,XNK An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2021,At_Risk,0.25,AGM - XNK An Giang
AGM,XNK An Giang,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2022,At_Risk,0.25,AGM - XNK An Giang
