Ticker,Company Name,Industry,Year (t),Year (t+1),Financial State (t),Financial State (t+1)
AAA,An Phát Bioplastics,Nguyên vật liệu,2020,2021,High_Risk,At_Risk
AAA,An Phát Bioplastics,Nguyên vật liệu,2021,2022,At_Risk,High_Risk
AAA,An Phát Bioplastics,Nguyên vật liệu,2022,2023,High_Risk,High_Risk
AAA,An Phát Bioplastics,Nguyên vật liệu,2023,2024,High_Risk,At_Risk
AAM,Thủy sản Mekong,Hàng Tiêu dùng,2020,2021,Stable,Stable
AAM,Thủy sản Mekong,Hàng Tiêu dùng,2021,2022,Stable,Stable
AAM,Thủy sản Mekong,Hàng Tiêu dùng,2022,2023,Stable,Stable
AAM,Thủy sản Mekong,Hàng Tiêu dùng,2023,2024,Stable,At_Risk
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,2020,2021,At_Risk,Stable
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,2021,2022,Stable,Stable
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,2022,2023,Stable,At_Risk
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,2023,2024,At_Risk,High_Risk
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,2020,2021,Healthy,Stable
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,2021,2022,Stable,Stable
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,2022,2023,Stable,Stable
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,2023,2024,Stable,At_Risk
ABS,DV Nông nghiệp Bình Thuận,Dịch vụ Tiêu dùng,2020,2021,Stable,Healthy
ABS,DV Nông nghiệp Bình Thuận,Dịch vụ Tiêu dùng,2021,2022,Healthy,At_Risk
ABS,DV Nông nghiệp Bình Thuận,Dịch vụ Tiêu dùng,2022,2023,At_Risk,High_Risk
ABS,DV Nông nghiệp Bình Thuận,Nguyên vật liệu,2023,2024,High_Risk,Stable
ABT,Thủy sản Bến Tre,Hàng Tiêu dùng,2020,2021,At_Risk,At_Risk
ABT,Thủy sản Bến Tre,Hàng Tiêu dùng,2021,2022,At_Risk,Stable
ABT,Thủy sản Bến Tre,Hàng Tiêu dùng,2022,2023,Stable,Stable
ABT,Thủy sản Bến Tre,Hàng Tiêu dùng,2023,2024,Stable,Stable
ACC,Đầu tư và XD Bình Dương ACC,Công nghiệp,2020,2021,Stable,High_Risk
ACC,Đầu tư và XD Bình Dương ACC,Công nghiệp,2021,2022,High_Risk,At_Risk
ACC,Đầu tư và XD Bình Dương ACC,Công nghiệp,2022,2023,At_Risk,High_Risk
ACC,Đầu tư và XD Bình Dương ACC,Công nghiệp,2023,2024,High_Risk,At_Risk
ACG,Gỗ An Cường,Nguyên vật liệu,2020,2021,Healthy,Stable
ACG,Gỗ An Cường,Nguyên vật liệu,2021,2022,Stable,At_Risk
ACG,Gỗ An Cường,Nguyên vật liệu,2022,2023,At_Risk,Stable
ACG,Gỗ An Cường,Nguyên vật liệu,2023,2024,Stable,Stable
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,2020,2021,High_Risk,At_Risk
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,2021,2022,At_Risk,Stable
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,2022,2023,Stable,At_Risk
ACL,Thủy sản CL An Giang,Hàng Tiêu dùng,2023,2024,At_Risk,At_Risk
ADG,Clever Group,Dịch vụ Tiêu dùng,2020,2021,Healthy,Healthy
ADG,Clever Group,Dịch vụ Tiêu dùng,2021,2022,Healthy,Healthy
ADG,Clever Group,Dịch vụ Tiêu dùng,2022,2023,Healthy,At_Risk
ADG,Clever Group,Dịch vụ Tiêu dùng,2023,2024,At_Risk,High_Risk
ADP,Sơn Á Đông,Công nghiệp,2020,2021,Healthy,Healthy
ADP,Sơn Á Đông,Công nghiệp,2021,2022,Healthy,Healthy
ADP,Sơn Á Đông,Công nghiệp,2022,2023,Healthy,Stable
ADP,Sơn Á Đông,Công nghiệp,2023,2024,Stable,Healthy
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,2020,2021,High_Risk,At_Risk
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,2021,2022,At_Risk,At_Risk
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,2022,2023,At_Risk,At_Risk
ADS,Dệt sợi DAMSAN,Hàng Tiêu dùng,2023,2024,At_Risk,High_Risk
AGM,XNK An Giang,Hàng Tiêu dùng,2020,2021,Stable,At_Risk
AGM,XNK An Giang,Hàng Tiêu dùng,2021,2022,At_Risk,At_Risk
AGM,XNK An Giang,Hàng Tiêu dùng,2022,2023,At_Risk,High_Risk
AGM,XNK An Giang,Hàng Tiêu dùng,2023,2024,High_Risk,At_Risk
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,2020,2021,At_Risk,High_Risk
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,2021,2022,High_Risk,Stable
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,2022,2023,Stable,At_Risk
ANV,Thủy sản Nam Việt,Hàng Tiêu dùng,2023,2024,At_Risk,At_Risk
APC,Chiếu xạ An Phú,Dược phẩm và Y tế,2020,2021,Stable,Stable
APC,Chiếu xạ An Phú,Dược phẩm và Y tế,2021,2022,Stable,At_Risk
APH,Tập đoàn An Phát Holdings,Công nghiệp,2020,2021,At_Risk,Stable
APH,Tập đoàn An Phát Holdings,Công nghiệp,2021,2022,Stable,Stable
APH,Tập đoàn An Phát Holdings,Công nghiệp,2022,2023,Stable,At_Risk
APH,Tập đoàn An Phát Holdings,Công nghiệp,2023,2024,At_Risk,Stable
ASG,Tập đoàn ASG,Công nghiệp,2020,2021,Stable,At_Risk
ASG,Tập đoàn ASG,Công nghiệp,2021,2022,At_Risk,At_Risk
ASG,Tập đoàn ASG,Công nghiệp,2022,2023,At_Risk,High_Risk
ASG,Tập đoàn ASG,Công nghiệp,2023,2024,High_Risk,At_Risk
ASM,Tập đoàn Sao Mai,Hàng Tiêu dùng,2020,2021,High_Risk,High_Risk
ASM,Tập đoàn Sao Mai,Hàng Tiêu dùng,2021,2022,High_Risk,At_Risk
ASM,Tập đoàn Sao Mai,Hàng Tiêu dùng,2022,2023,At_Risk,At_Risk
ASM,Tập đoàn Sao Mai,Hàng Tiêu dùng,2023,2024,At_Risk,At_Risk
ASP,Dầu khí An Pha,Tiện ích Cộng đồng,2020,2021,At_Risk,At_Risk
ASP,Dầu khí An Pha,Tiện ích Cộng đồng,2021,2022,At_Risk,At_Risk
ASP,Dầu khí An Pha,Tiện ích Cộng đồng,2022,2023,At_Risk,At_Risk
ASP,Dầu khí An Pha,Tiện ích Cộng đồng,2023,2024,At_Risk,At_Risk
AST,Dịch vụ Hàng không Taseco,Dịch vụ Tiêu dùng,2020,2021,Stable,At_Risk
AST,Dịch vụ Hàng không Taseco,Dịch vụ Tiêu dùng,2021,2022,At_Risk,At_Risk
AST,Dịch vụ Hàng không Taseco,Dịch vụ Tiêu dùng,2022,2023,At_Risk,Stable
AST,Dịch vụ Hàng không Taseco,Dịch vụ Tiêu dùng,2023,2024,Stable,Stable
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,2020,2021,At_Risk,Stable
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,2021,2022,Stable,Stable
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,2022,2023,Stable,High_Risk
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,2023,2024,High_Risk,High_Risk
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,2020,2021,At_Risk,At_Risk
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,2021,2022,At_Risk,Stable
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,2022,2023,Stable,At_Risk
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,2023,2024,At_Risk,Stable
BCE,XD và GT Bình Dương,Công nghiệp,2020,2021,High_Risk,At_Risk
BCE,XD và GT Bình Dương,Công nghiệp,2021,2022,At_Risk,At_Risk
BCE,XD và GT Bình Dương,Công nghiệp,2022,2023,At_Risk,High_Risk
BCE,XD và GT Bình Dương,Công nghiệp,2023,2024,High_Risk,Stable
BFC,Phân bón Bình Điền,Nguyên vật liệu,2020,2021,Stable,Stable
BFC,Phân bón Bình Điền,Nguyên vật liệu,2021,2022,Stable,At_Risk
BFC,Phân bón Bình Điền,Nguyên vật liệu,2022,2023,At_Risk,At_Risk
BFC,Phân bón Bình Điền,Nguyên vật liệu,2023,2024,At_Risk,Healthy
BHN,HABECO,Hàng Tiêu dùng,2020,2021,Stable,At_Risk
BHN,HABECO,Hàng Tiêu dùng,2021,2022,At_Risk,Healthy
BHN,HABECO,Hàng Tiêu dùng,2022,2023,Healthy,Healthy
BHN,HABECO,Hàng Tiêu dùng,2023,2024,Healthy,Healthy
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,2020,2021,Stable,Stable
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,2021,2022,Stable,Stable
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,2022,2023,Stable,Stable
BKG,Đầu tư BKG Việt Nam,Hàng Tiêu dùng,2023,2024,Stable,Stable
BMC,Khoáng sản Bình Định,Nguyên vật liệu,2020,2021,Healthy,Stable
BMC,Khoáng sản Bình Định,Nguyên vật liệu,2021,2022,Stable,Healthy
BMC,Khoáng sản Bình Định,Nguyên vật liệu,2022,2023,Healthy,Stable
BMC,Khoáng sản Bình Định,Nguyên vật liệu,2023,2024,Stable,Healthy
BMP,Nhựa Bình Minh,Công nghiệp,2020,2021,Healthy,Healthy
BMP,Nhựa Bình Minh,Công nghiệp,2021,2022,Healthy,Healthy
BMP,Nhựa Bình Minh,Công nghiệp,2022,2023,Healthy,Healthy
BMP,Nhựa Bình Minh,Công nghiệp,2023,2024,Healthy,Healthy
