Mã,Tên công ty,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Selected_Size_Indicator,Size_Label
AAA,An Phát Bioplastics,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2020,ln_Total_Assets,Large
AAA,An Phát Bioplastics,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2021,ln_Total_Assets,Large
AAA,An Phát Bioplastics,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2022,ln_Total_Assets,Large
AAA,An Phát Bioplastics,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2023,ln_Total_Assets,Large
AAA,An Phát Bioplastics,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",2024,ln_Total_Assets,Large
AAM,Thủy sản Mekong,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,ln_Total_Assets,Small
AAM,Thủy sản Mekong,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,ln_Total_Assets,Small
AAM,Thủy sản Mekong,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,ln_Total_Assets,Small
AAM,Thủy sản Mekong,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,ln_Total_Assets,Small
AAM,Thủy sản Mekong,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,ln_Total_Assets,Small
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2020,ln_Total_Assets,Small
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2021,ln_Total_Assets,Small
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2022,ln_Total_Assets,Small
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2023,ln_Total_Assets,Small
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,2024,ln_Total_Assets,Small
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2020,ln_Revenue,Small
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2021,ln_Revenue,Small
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2022,ln_Revenue,Small
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2023,ln_Revenue,Small
ABR,Đầu tư Nhãn Hiệu Việt,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ Kinh doanh,Tư vấn & Hỗ trợ KD,2024,ln_Revenue,Small
ABS,DV Nông nghiệp Bình Thuận,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2020,ln_Total_Assets,Medium
ABS,DV Nông nghiệp Bình Thuận,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2021,ln_Total_Assets,Large
