Ngành ICB - cấp 1,Năm,Nhóm chỉ số,Số quan sát,Số PC đạt 80% thông tin,Tỷ lệ phương sai PC1
Công nghiệp,2020,Efficiency,95,2,0.507
Công nghiệp,2020,Leverage,95,2,0.502
Công nghiệp,2020,Liquidity,95,1,0.841
Công nghiệp,2020,Profitability,95,2,0.611
Công nghiệp,2021,Efficiency,95,2,0.504
Công nghiệp,2021,Leverage,95,2,0.6
Công nghiệp,2021,Liquidity,95,2,0.685
Công nghiệp,2021,Profitability,95,2,0.617
Công nghiệp,2022,Efficiency,95,2,0.667
Công nghiệp,2022,Leverage,95,2,0.58
Công nghiệp,2022,Liquidity,95,2,0.691
Công nghiệp,2022,Profitability,95,2,0.549
Công nghiệp,2023,Efficiency,93,2,0.55
Công nghiệp,2023,Leverage,93,2,0.509
Công nghiệp,2023,Liquidity,93,1,0.811
Công nghiệp,2023,Profitability,93,2,0.749
Công nghiệp,2024,Efficiency,93,2,0.545
Công nghiệp,2024,Leverage,93,2,0.537
Công nghiệp,2024,Liquidity,93,1,0.844
Công nghiệp,2024,Profitability,92,2,0.625
Công nghệ Thông tin,2020,Efficiency,8,1,0.944
Công nghệ Thông tin,2020,Leverage,8,1,0.898
Công nghệ Thông tin,2020,Liquidity,8,1,0.842
Công nghệ Thông tin,2020,Profitability,8,1,0.956
Công nghệ Thông tin,2021,Efficiency,8,2,0.636
Công nghệ Thông tin,2021,Leverage,8,1,0.947
Công nghệ Thông tin,2021,Liquidity,8,1,0.883
Công nghệ Thông tin,2021,Profitability,8,1,0.818
Công nghệ Thông tin,2022,Efficiency,7,2,0.607
Công nghệ Thông tin,2022,Leverage,8,1,0.857
Công nghệ Thông tin,2022,Liquidity,8,1,0.956
Công nghệ Thông tin,2022,Profitability,8,1,0.996
Công nghệ Thông tin,2023,Efficiency,7,2,0.761
Công nghệ Thông tin,2023,Leverage,8,2,0.759
Công nghệ Thông tin,2023,Liquidity,8,1,1.0
Công nghệ Thông tin,2023,Profitability,8,2,0.785
Công nghệ Thông tin,2024,Efficiency,8,1,0.824
Công nghệ Thông tin,2024,Leverage,8,1,0.953
Công nghệ Thông tin,2024,Liquidity,8,2,0.5
Công nghệ Thông tin,2024,Profitability,8,1,0.9
Dược phẩm và Y tế,2020,Efficiency,14,1,0.92
Dược phẩm và Y tế,2020,Leverage,14,2,0.55
Dược phẩm và Y tế,2020,Liquidity,14,1,0.814
Dược phẩm và Y tế,2020,Profitability,14,1,0.845
Dược phẩm và Y tế,2021,Efficiency,14,1,0.922
Dược phẩm và Y tế,2021,Leverage,14,1,0.954
Dược phẩm và Y tế,2021,Liquidity,14,2,0.662
Dược phẩm và Y tế,2021,Profitability,14,1,0.899
Dược phẩm và Y tế,2022,Efficiency,14,1,0.934
Dược phẩm và Y tế,2022,Leverage,14,1,0.952
Dược phẩm và Y tế,2022,Liquidity,14,2,0.666
Dược phẩm và Y tế,2022,Profitability,14,1,0.869
Dược phẩm và Y tế,2023,Efficiency,14,1,0.921
Dược phẩm và Y tế,2023,Leverage,14,2,0.565
Dược phẩm và Y tế,2023,Liquidity,14,2,0.62
Dược phẩm và Y tế,2023,Profitability,14,1,0.876
Dược phẩm và Y tế,2024,Efficiency,14,1,0.828
Dược phẩm và Y tế,2024,Leverage,14,2,0.708
Dược phẩm và Y tế,2024,Liquidity,14,2,0.696
Dược phẩm và Y tế,2024,Profitability,14,1,0.913
Dầu khí,2020,Efficiency,2,1,1.0
Dầu khí,2020,Leverage,2,1,1.0
Dầu khí,2020,Liquidity,2,1,1.0
Dầu khí,2020,Profitability,2,1,1.0
Dầu khí,2021,Efficiency,2,1,1.0
Dầu khí,2021,Leverage,2,1,1.0
Dầu khí,2021,Liquidity,2,1,1.0
Dầu khí,2021,Profitability,2,1,1.0
Dầu khí,2022,Efficiency,2,1,1.0
Dầu khí,2022,Leverage,2,1,1.0
Dầu khí,2022,Liquidity,2,1,1.0
Dầu khí,2022,Profitability,2,1,1.0
Dầu khí,2023,Efficiency,3,1,1.0
Dầu khí,2023,Leverage,3,1,0.966
Dầu khí,2023,Liquidity,3,1,0.969
Dầu khí,2023,Profitability,3,2,0.694
Dầu khí,2024,Efficiency,3,1,0.997
Dầu khí,2024,Leverage,3,1,0.939
Dầu khí,2024,Liquidity,3,1,0.966
Dầu khí,2024,Profitability,3,2,0.646
Dịch vụ Tiêu dùng,2020,Efficiency,23,2,0.671
Dịch vụ Tiêu dùng,2020,Leverage,23,2,0.505
Dịch vụ Tiêu dùng,2020,Liquidity,23,1,0.871
Dịch vụ Tiêu dùng,2020,Profitability,23,2,0.637
Dịch vụ Tiêu dùng,2021,Efficiency,23,2,0.665
Dịch vụ Tiêu dùng,2021,Leverage,23,2,0.533
Dịch vụ Tiêu dùng,2021,Liquidity,23,1,0.846
Dịch vụ Tiêu dùng,2021,Profitability,23,2,0.701
Dịch vụ Tiêu dùng,2022,Efficiency,23,2,0.632
Dịch vụ Tiêu dùng,2022,Leverage,23,2,0.637
Dịch vụ Tiêu dùng,2022,Liquidity,23,2,0.713
Dịch vụ Tiêu dùng,2022,Profitability,23,2,0.478
Dịch vụ Tiêu dùng,2023,Efficiency,22,2,0.65
Dịch vụ Tiêu dùng,2023,Leverage,22,2,0.588
Dịch vụ Tiêu dùng,2023,Liquidity,22,2,0.733
Dịch vụ Tiêu dùng,2023,Profitability,22,2,0.794
Dịch vụ Tiêu dùng,2024,Efficiency,22,2,0.687
Dịch vụ Tiêu dùng,2024,Leverage,22,2,0.512
Dịch vụ Tiêu dùng,2024,Liquidity,22,2,0.78
Dịch vụ Tiêu dùng,2024,Profitability,22,2,0.709
Hàng Tiêu dùng,2020,Efficiency,62,1,0.815
Hàng Tiêu dùng,2020,Leverage,62,2,0.531
Hàng Tiêu dùng,2020,Liquidity,62,2,0.785
Hàng Tiêu dùng,2020,Profitability,62,1,0.804
Hàng Tiêu dùng,2021,Efficiency,62,2,0.782
Hàng Tiêu dùng,2021,Leverage,62,2,0.696
Hàng Tiêu dùng,2021,Liquidity,62,1,0.97
Hàng Tiêu dùng,2021,Profitability,62,1,0.801
Hàng Tiêu dùng,2022,Efficiency,62,2,0.788
Hàng Tiêu dùng,2022,Leverage,62,2,0.719
Hàng Tiêu dùng,2022,Liquidity,62,2,0.733
